Using device: mps
Loaded Gen 1 model ppo_model_gen1.pt for fine-tuning!
Starting PPO training for 200000 episodes...
Ep    16800 | WinRT:  92.0% | AvgLen:  8.3 | ALoss: -0.001 | CLoss:  0.171 | Ent: 0.118 | Time: 1214.2s
Ep    16900 | WinRT:  93.0% | AvgLen:  9.3 | ALoss: -0.006 | CLoss:  0.128 | Ent: 0.129 | Time: 1218.7s
Ep    17000 | WinRT:  87.0% | AvgLen:  9.7 | ALoss:  0.001 | CLoss:  0.222 | Ent: 0.128 | Time: 1223.8s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep    17100 | WinRT:  92.0% | AvgLen: 12.6 | ALoss: -0.001 | CLoss:  0.120 | Ent: 0.114 | Time: 1230.8s
Ep    17200 | WinRT:  88.0% | AvgLen: 17.9 | ALoss: -0.000 | CLoss:  0.103 | Ent: 0.085 | Time: 1246.1s
Ep    17300 | WinRT:  94.0% | AvgLen: 14.9 | ALoss: -0.001 | CLoss:  0.062 | Ent: 0.083 | Time: 1254.2s
Ep    17400 | WinRT:  89.0% | AvgLen:  9.4 | ALoss:  0.005 | CLoss:  0.166 | Ent: 0.128 | Time: 1258.9s
Ep    17500 | WinRT:  92.0% | AvgLen:  9.2 | ALoss: -0.000 | CLoss:  0.163 | Ent: 0.138 | Time: 1263.8s
Ep    17600 | WinRT:  89.0% | AvgLen:  9.1 | ALoss: -0.003 | CLoss:  0.169 | Ent: 0.122 | Time: 1268.3s
Ep    17700 | WinRT:  90.0% | AvgLen:  9.4 | ALoss: -0.000 | CLoss:  0.181 | Ent: 0.126 | Time: 1274.0s
Ep    17800 | WinRT:  91.0% | AvgLen:  8.9 | ALoss: -0.002 | CLoss:  0.176 | Ent: 0.141 | Time: 1278.9s
Ep    17900 | WinRT:  90.0% | AvgLen:  8.9 | ALoss: -0.002 | CLoss:  0.169 | Ent: 0.109 | Time: 1283.3s
Ep    18000 | WinRT:  90.0% | AvgLen:  9.1 | ALoss: -0.002 | CLoss:  0.207 | Ent: 0.118 | Time: 1287.8s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep    18100 | WinRT:  92.0% | AvgLen:  9.3 | ALoss: -0.001 | CLoss:  0.127 | Ent: 0.124 | Time: 1292.2s
Ep    18200 | WinRT:  91.0% | AvgLen:  8.7 | ALoss:  0.011 | CLoss:  0.131 | Ent: 0.118 | Time: 1297.1s
